Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label,count-,count@,count?,count%,count.,count=,count-http,count-https,count-www,count-digits,count-letters,count_dir
graphicriver.net,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,15,0
ecnavi.jp,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,8,0
hubpages.com,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,11,0
extratorrent.cc,0,0,1,3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,14,0
icicibank.com,0,0,1,3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,12,0
docs.google.com,0,0,1,5,0,0,0,0,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,13,0
s-teamg.com,0,0,0,3,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,9,0
cloudflare-ipfs.com,0,0,1,2,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,17,0
bafybeictw2hplh3akxmcbsiibnh6lrp7xgw7msarpxov25jdhksy3o5qaa.ipfs.cf-ipfs.com,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,3,0,0,0,0,9,63,0
brwtihfyemdrt.web.app,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,19,0
